id,secu_code,market_code,entry_index,strategy_type,strategy_item,strategy_code,strategy_name,strategy_version,entry_price,entry_time,status
﻿f5b0e8d76a9244b39c,03309,2,3,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,6.16,2020-06-23,0
﻿7a54b490da604fbd91,00082,2,4,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.21,2020-06-23,0
﻿ef370e9e58394574b4,01753,2,5,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,3.18,2020-06-23,0
﻿fe4b4d9ade5c41dd9e,01798,2,6,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.95,2020-06-23,0
﻿d769defc5a1742af8e,00127,2,7,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,5.53,2020-06-23,0
﻿0bc3479f21dd4e0996,00999,2,8,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.15,2020-06-23,0
﻿d94064d9d5974d7883,01569,2,9,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.14,2020-06-23,0
﻿0df7c5f518cb422495,00732,2,0,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,0.76,2020-06-23,0
﻿6e348fee36ac40d086,01741,2,1,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,1.8,2020-06-23,0
﻿e356deb7f2df42b881,01816,2,2,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,1.69,2020-06-23,0
﻿69cf6ec734964b329d,02880,2,3,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,0.73,2020-06-23,0
﻿35c0a160def14839bc,02303,2,4,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,2.84,2020-06-23,0
﻿f740c1b854ff4fd8a5,01812,2,5,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,2.93,2020-06-23,0
﻿4fc1c3149c974e59bb,01679,2,6,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,0.82,2020-06-23,0
﻿026b92a37ce74b0fb5,00811,2,7,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,5.28,2020-06-23,0
﻿e479a07f7cf14a7e94,06088,2,8,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,3.0,2020-06-23,0
﻿671c61658c3e4355a8,03908,2,9,SHAPEX,4,macddiweijincha,MACD低位金叉,rc20200615,15.14,2020-06-23,0
﻿b9c01847179e44118a,00242,2,0,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.13,2020-06-23,0
﻿f84c177e5cd849bd81,03608,2,1,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,2.18,2020-06-23,0
﻿f3afb33df260422fbc,03908,2,2,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,15.2,2020-06-23,0
﻿730c59ef7a494c7aa9,06100,2,3,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,19.36,2020-06-23,0
﻿ec01fc4c67834a5bae,01589,2,4,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.27,2020-06-23,0
﻿3629ac4e59e440799d,06166,2,5,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.18,2020-06-23,0
﻿a16b2ce0018d4f018e,00286,2,6,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,0.57,2020-06-23,0
﻿ca920cc8aacb4c40ab,01763,2,7,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,21.75,2020-06-23,0
﻿7807f52e759647d8a9,03333,2,8,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,19.88,2020-06-23,0
﻿677b71db29e04375bd,06088,2,9,SHAPEX,0,shangzhangqushi,上涨趋势跟踪,rc20200615,3.06,2020-06-23,0
﻿c4cf55a88fa54016bf,00968,2,0,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,7.0,2020-06-23,0
﻿3e74d8d919534f05b2,02001,2,1,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,4.98,2020-06-23,0
﻿4a1d343a0a864fa6b1,06808,2,2,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,13.1,2020-06-23,0
﻿beca39bcf2144435ba,01177,2,3,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,14.96,2020-06-23,0
﻿96330fa53c96469d81,00772,2,4,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,53.0,2020-06-23,0
﻿38f1ce2d6868491791,01211,2,5,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,60.45,2020-06-23,0
﻿cd9d4ecc4e01469da8,01579,2,6,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,77.0,2020-06-23,0
﻿11cfa3b0d1b84e33b2,00535,2,7,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,1.45,2020-06-23,0
﻿b891e5ea9e01435597,03331,2,8,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,27.65,2020-06-23,0
﻿7686e1ecedae45818c,03690,2,9,SHAPEX,1,xingaotupo,新高突破策略,rc20200615,176.8,2020-06-23,0
﻿782b9acfc4ba4ba197,09996,2,0,SHAPEX,2,changxiaying,长下影,rc20200615,31.6,2020-06-23,0
﻿de016f2827b04ad0ac,01299,2,1,SHAPEX,2,changxiaying,长下影,rc20200615,74.9,2020-06-23,0
﻿018975dcf3ae469783,01308,2,2,SHAPEX,2,changxiaying,长下影,rc20200615,8.03,2020-06-23,0
﻿edf5f89669a84941bc,01877,2,3,SHAPEX,2,changxiaying,长下影,rc20200615,58.3,2020-06-23,0
﻿542c542b326240be97,00973,2,4,SHAPEX,2,changxiaying,长下影,rc20200615,13.26,2020-06-23,0
﻿e5853b185ebc4555b5,06158,2,5,SHAPEX,2,changxiaying,长下影,rc20200615,4.9,2020-06-23,0
﻿cba96f7467d94383a2,00148,2,6,SHAPEX,2,changxiaying,长下影,rc20200615,21.6,2020-06-23,0
﻿fd05bfba5f9a498a86,01910,2,7,SHAPEX,2,changxiaying,长下影,rc20200615,8.08,2020-06-23,0
﻿c5b9291d06b2467eba,00780,2,8,SHAPEX,2,changxiaying,长下影,rc20200615,13.96,2020-06-23,0
﻿5fce4570a1a84767b7,01566,2,9,SHAPEX,2,changxiaying,长下影,rc20200615,2.16,2020-06-23,0
﻿0a09f78d71df43e59a,01636,2,0,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.29,2020-06-23,0
﻿07be3446946d48708d,00999,2,1,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.17,2020-06-23,0
﻿81424c7839204b6aae,00708,2,2,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,11.02,2020-06-23,0
﻿2816495daf374802b0,00082,2,3,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.23,2020-06-23,0
﻿a965b87c5ceb4291b9,00579,2,4,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.59,2020-06-23,0
﻿f0430deeaace4059b9,01753,2,5,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,3.5,2020-06-23,0
﻿02eb0d541d7c4516b9,01798,2,6,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,0.9,2020-06-23,0
﻿34c0dae82d174c75ba,03309,2,7,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,6.13,2020-06-23,0
﻿c340d148850640f0a9,00127,2,8,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,5.35,2020-06-23,0
﻿c550045fbd0c47feac,01569,2,9,SHAPEX,3,chengjiaoliangshangyang,成交量上扬,rc20200615,1.12,2020-06-23,0
