成份代码,成份名称,市盈率(PE),截止日期,收盘价,涨跌幅[%],指数权重,指数贡献[点],流通市值[亿],总市值[亿],流通股本[亿],总股本[亿]
06055.HK,中烟香港,——,2020-06-30,15.7600,3.2765,0.0000,0.0000,109.0088,109.0088,6.9168,6.9168
06060.HK,众安在线,——,2020-06-30,38.3500,-0.6477,0.0000,0.0000,180.1732,563.6732,4.6981,14.6981
06066.HK,中信建投证券,39.7656,2020-06-30,8.7700,1.3873,0.0000,0.0000,110.5918,670.5880,12.6102,76.4639
06068.HK,睿见教育,79.7632,2020-06-30,3.1900,2.5723,0.0000,0.0000,65.3042,65.3042,20.4715,20.4715
06069.HK,盛业资本,——,2020-06-30,6.3400,0.1580,0.0000,0.0000,55.8562,55.8562,8.8101,8.8101
06088.HK,FIT HON TENG,12.0566,2020-06-30,3.0000,4.5296,0.0000,0.0000,206.4386,206.4386,68.8129,68.8129
06098.HK,碧桂园服务,——,2020-06-30,36.0000,-1.0989,0.0000,0.0000,991.2743,991.2743,27.5354,27.5354
06110.HK,滔搏,——,2020-06-30,9.9000,-1.3944,0.0000,0.0000,613.9210,613.9210,62.0122,62.0122
06158.HK,正荣地产,——,2020-06-30,4.8500,-0.6148,0.0000,0.0000,211.8362,211.8362,43.6776,43.6776
06166.HK,中国宏泰发展,5.3055,2020-06-30,3.3700,1.5060,0.0000,0.0000,55.6467,55.6467,16.5124,16.5124
06169.HK,宇华教育,——,2020-06-30,6.3600,-5.4978,0.0000,0.0000,212.4011,212.4011,33.3964,33.3964
06186.HK,中国飞鹤,——,2020-06-30,15.5200,0.9103,0.0000,0.0000,"1,386.4544","1,386.4544",89.3334,89.3334
06806.HK,申万宏源,——,2020-06-30,2.1400,3.3816,0.0000,0.0000,53.5856,535.8548,25.0400,250.3994
06808.HK,高鑫零售,27.7312,2020-06-30,13.2400,1.3783,0.0000,0.0000,"1,263.0569","1,263.0569",95.3970,95.3970
06818.HK,中国光大银行,4.6034,2020-06-30,2.9100,0.6920,0.0000,0.0000,368.9512,"1,527.4396",126.7874,524.8933
06823.HK,香港电讯-SS,35.9078,2020-06-30,11.3400,0.0000,0.0000,0.0000,859.0892,859.0892,75.7574,75.7574
06837.HK,海通证券,18.6591,2020-06-30,6.2600,2.9605,0.0000,0.0000,213.4390,720.0064,34.0957,115.0170
06862.HK,海底捞,——,2020-06-30,32.7000,-0.9091,0.0000,0.0000,"1,733.1000","1,733.1000",53.0000,53.0000
06869.HK,长飞光纤光缆,19.9567,2020-06-30,14.2400,-3.9136,0.0000,0.0000,50.0631,107.9257,3.5157,7.5791
06881.HK,中国银河,18.1036,2020-06-30,4.1900,0.9639,0.0000,0.0000,154.6523,424.7511,36.9098,101.3726
06886.HK,HTSC,45.8452,2020-06-30,12.3400,-1.5949,0.0000,0.0000,212.1302,"1,120.0586",17.1905,90.7665
09988.HK,阿里巴巴-SW,——,2020-06-30,209.6000,0.0955,0.0000,0.0000,"1,205.2000","44,983.8998",5.7500,214.6178
09999.HK,网易-S,——,2020-06-30,133.6000,-1.0370,0.0000,0.0000,263.4619,"4,616.0369",1.9720,34.5512
